concat;Age;NSC;moy MoCA;ET MoCA;C50 MoCA;C5 MoCA;moy 3RL;ET 3RL;C50 RL;C5 3RL;moy 3RT;ET 3RT;C50 3RT;C5 3RT;Fluences (P);ET (P);C50 Fluences (P);C5 Fluences (P);Fluences ANIMX;ET (ANIMX);C50 Animx;C5 ANIMX;TMT A (tps moy);TMTA (Tps ET);TMT A C50;TMT A C5;TMTA m(err);TMTA ET(err);TMT B (tps moy);TMTB(Tps ET); TMT B C50;TMTB C5;TMTB m(err);TMTB ET(err);TMTB m(errP) ;TMTB ET(errP) ;STROOP m(déno);STROOP ET(Déno);Déno C50;Déno C5;Stroop m(Lect);ET (lecture);lecture C50;Lecture C5;m (interférence);ET (interférence);C50 interférence;C5 interférence;m int-déno;ET int-déno;int-Déno C50;int-Déno C5;code C50;code C5;SLC C50;SLC C5;Pasat C50;Pasat C5
401;40;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
411;41;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
421;42;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
431;43;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
441;44;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
451;45;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
461;46;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
471;47;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
481;48;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
491;49;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
501;50;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
511;51;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
521;52;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
531;53;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
541;54;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;67;43;11;5;;
551;55;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;56;36;10;5;;
561;56;1;25.9;2.7;26;21.4;31;6;32;21.1;44.5;4.9;46;38.6;12.5;4.2;12;5.6;18.9;4.5;19;11.7;41;22;34;98;0.02;0.16;99;42;93;186;0.34;0.76;0.2;0.56;62;12;59;92;45;9;44;62;117;27;118;193;55;21;55;104;56;36;10;5;;
